# TEST CONFIGURATION BEGIN
# SEAGenerator(balance_classes=False, classification_function=0, noise_percentage=0.7, random_state=1)
# [HSTrees] HalfSpaceTrees(anomaly_threshold=0.5, depth=15, n_estimators=100, n_features=3, random_state=2, size_limit=10.0, window_size=300)
# [iForestASD] IsolationForestStream(anomaly_threshold=0.5, drift_threshold=0.3, n_estimators=100, random_state=None, window_size=300)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=1000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'kappa_m', 'running_time', 'model_size'], n_wait=200, output_file='results/Generator_2020-03-24 ' '21:39:25.878823/result_for_WS300_NE100.csv', pretrain_size=1, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[HSTrees],current_acc_[HSTrees],mean_acc_[iForestASD],current_acc_[iForestASD],mean_f1_[HSTrees],current_f1_[HSTrees],mean_f1_[iForestASD],current_f1_[iForestASD],mean_kappa_[HSTrees],current_kappa_[HSTrees],mean_kappa_[iForestASD],current_kappa_[iForestASD],mean_kappa_m_[HSTrees],current_kappa_m_[HSTrees],mean_kappa_m_[iForestASD],current_kappa_m_[iForestASD],training_time_[HSTrees],testing_time_[HSTrees],total_running_time_[HSTrees],training_time_[iForestASD],testing_time_[iForestASD],total_running_time_[iForestASD],model_size_[HSTrees],model_size_[iForestASD]
199,0.567839,0.567839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.102564,-0.102564,-1.551282,-1.551282,21.940651,0.307219,22.247870,0.003925,0.000396,0.004322,755204.768555,42.739258
399,0.561404,0.555000,0.107769,0.215000,0.358974,0.524064,0.143772,0.238610,0.064347,0.108038,-0.026715,-0.060632,-0.047904,0.000000,-1.131737,-0.764045,23.320658,0.613749,23.934407,0.468425,21.392643,21.861068,755203.018555,4818.954102
599,0.544240,0.510000,0.245409,0.520000,0.525217,0.675497,0.280126,0.451633,0.088138,0.000000,-0.016176,0.047619,-0.014870,-0.031579,-0.680297,-0.010526,23.565971,0.917844,24.483815,0.473453,82.683632,83.157085,755211.631836,4902.204102
799,0.570713,0.650000,0.320401,0.545000,0.540830,0.593023,0.336044,0.461276,0.138004,0.287169,-0.003247,0.053070,0.044568,0.195402,-0.512535,-0.045977,24.986515,1.414134,26.400649,1.147194,184.373199,185.520393,755213.327148,9883.118164
999,0.574575,0.590000,0.364364,0.540000,0.537541,0.523256,0.364252,0.455555,0.143679,0.164969,0.003860,0.041667,0.053452,0.088889,-0.414254,-0.022222,26.401735,1.899984,28.301719,2.024946,320.033522,322.058468,755212.506836,14980.165039
