# TEST CONFIGURATION BEGIN
# SEAGenerator(balance_classes=False, classification_function=0, noise_percentage=0.7, random_state=1)
# [HSTrees] HalfSpaceTrees(anomaly_threshold=0.5, depth=15, n_estimators=10, n_features=3, random_state=2, size_limit=10.0, window_size=100)
# [iForestASD] IsolationForestStream(anomaly_threshold=0.5, drift_threshold=0.3, n_estimators=10, random_state=None, window_size=100)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=1000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'kappa_m', 'running_time', 'model_size'], n_wait=200, output_file='results/Generator_2020-03-24 ' '21:39:25.878823/result_for_WS100_NE10.csv', pretrain_size=1, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[HSTrees],current_acc_[HSTrees],mean_acc_[iForestASD],current_acc_[iForestASD],mean_f1_[HSTrees],current_f1_[HSTrees],mean_f1_[iForestASD],current_f1_[iForestASD],mean_kappa_[HSTrees],current_kappa_[HSTrees],mean_kappa_[iForestASD],current_kappa_[iForestASD],mean_kappa_m_[HSTrees],current_kappa_m_[HSTrees],mean_kappa_m_[iForestASD],current_kappa_m_[iForestASD],training_time_[HSTrees],testing_time_[HSTrees],total_running_time_[HSTrees],training_time_[iForestASD],testing_time_[iForestASD],total_running_time_[iForestASD],model_size_[HSTrees],model_size_[iForestASD]
199,0.457286,0.457286,0.276382,0.276382,0.413043,0.413043,0.316367,0.316367,-0.087652,-0.087652,0.028413,0.028413,-0.384615,-0.384615,-0.846154,-0.846154,2.434191,0.048918,2.483109,0.020621,0.858347,0.878968,75523.549805,263.719727
399,0.526316,0.595000,0.403509,0.530000,0.455331,0.503067,0.407373,0.471494,0.036318,0.166152,0.043975,0.065142,-0.131737,0.089888,-0.425150,-0.056180,2.693465,0.118786,2.812251,0.072999,4.810804,4.883803,75523.877930,652.856445
599,0.554257,0.610000,0.439065,0.510000,0.487524,0.551724,0.424764,0.453379,0.095928,0.224344,0.037282,0.020392,0.007435,0.178947,-0.249071,-0.031579,2.954640,0.190634,3.145274,0.145625,11.922714,12.068338,75523.987305,1038.040039
799,0.578223,0.650000,0.450563,0.485000,0.510885,0.583333,0.426676,0.431792,0.142919,0.284254,0.023448,-0.022840,0.061281,0.195402,-0.222841,-0.183908,3.216006,0.264939,3.480946,0.236785,21.969954,22.206739,75523.877930,1401.118164
999,0.577578,0.575000,0.473473,0.565000,0.502358,0.465409,0.441234,0.493090,0.139247,0.122807,0.039718,0.111338,0.060134,0.055556,-0.171492,0.033333,3.479165,0.339314,3.818480,0.324254,24.625339,24.949593,75523.905273,434.860352
